2024-05-17 11:32:43 status unpacked libmutter-2-0:amd64 3.28.4+git20200505-0ubuntu18.04.2
2024-05-17 11:32:43 status unpacked libmutter-2-0:amd64 3.28.4+git20200505-0ubuntu18.04.2
2024-05-17 11:32:44 upgrade gnome-shell:amd64 3.28.4-0ubuntu18.04.3 3.28.4-0ubuntu18.04.7
2024-05-17 11:32:44 status half-configured gnome-shell:amd64 3.28.4-0ubuntu18.04.3
2024-05-17 11:32:44 status unpacked gnome-shell:amd64 3.28.4-0ubuntu18.04.3
2024-05-17 11:32:44 status half-installed gnome-shell:amd64 3.28.4-0ubuntu18.04.3
2024-05-17 11:32:46 status half-installed gnome-shell:amd64 3.28.4-0ubuntu18.04.3
2024-05-17 11:32:46 status unpacked gnome-shell:amd64 3.28.4-0ubuntu18.04.7
2024-05-17 11:32:46 status unpacked gnome-shell:amd64 3.28.4-0ubuntu18.04.7
2024-05-17 11:32:47 upgrade gnome-shell-common:all 3.28.4-0ubuntu18.04.3 3.28.4-0ubuntu18.04.7
2024-05-17 11:32:47 status half-configured gnome-shell-common:all 3.28.4-0ubuntu18.04.3
2024-05-17 11:32:47 status unpacked gnome-shell-common:all 3.28.4-0ubuntu18.04.3
2024-05-17 11:32:47 status half-installed gnome-shell-common:all 3.28.4-0ubuntu18.04.3
2024-05-17 11:32:47 status half-installed gnome-shell-common:all 3.28.4-0ubuntu18.04.3
2024-05-17 11:32:47 status half-installed gnome-shell-common:all 3.28.4-0ubuntu18.04.3
2024-05-17 11:32:47 status unpacked gnome-shell-common:all 3.28.4-0ubuntu18.04.7
2024-05-17 11:32:47 status unpacked gnome-shell-common:all 3.28.4-0ubuntu18.04.7
